Price,Type of property,City,Region,Area,Rooms,Bathrooms,Condition,Air conditioning,Garden,Furnished,Pool,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
1109000.0,House,Cité Jardins,Cité El Khadra,470,4,1,Due for reform,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
275000.0,House,Hammamet Nord,Hammamet,94,3,1,Good condition,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes
845000.0,Villa,Hammamet,Hammamet,345,4,3,New,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no
950000.0,Apartment,Hammamet,Hammamet,166,2,3,Good condition,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no
320000.0,Apartment,Hammamet,Hammamet,100,2,1,Good condition,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
982000.0,Apartment,La Marsa,La Marsa,153,2,3,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
180000.0,House,Kélibia,Kélibia,200,3,1,New,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no
180000.0,Apartment,Kélibia,Kélibia,127,3,1,New,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
224000.0,Apartment,Nouvelle Medina,Nouvelle Medina,97,2,2,New,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
350000.0,Apartment,Kélibia,Kélibia,240,2,1,New,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
280000.0,House,Hergla,Hergla,160,3,2,Good condition,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
146000.0,Apartment,Zone Industrielle El Meghira,Fouchana,82,2,1,New,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
