Type,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Stage,Age,uknown
house,"7,000 TND",Les Berges Du Lac 2 inLa Marsa,,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,,1-5 years old,
apartment,"6,000 TND",Gammarth inLa Marsa,,5 Pieces,4 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,,1-5 years old,
apartment,"2,500 TND",Gammarth inLa Marsa,,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,,1-5 years old,
apartment,"3,000 TND",La Marsa inLa Marsa,200m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,,1-5 years old,
house,"2,300 TND",Cité Erriadh inLa Marsa,160m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,1ststage,1-5 years old,
apartment,"2,000 TND",Les Berges Du Lac 2 inLa Marsa,70m²,,1 Room,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,2ndstage,1-5 years old,
apartment,"2,300 TND",Les Berges Du Lac 2 inLa Marsa,170m²,,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,2ndstage,1-5 years old,
apartment,"2,200 TND",Les Berges Du Lac 2 inLa Marsa,120m²,,2 Rooms,1 Bathroom,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,2ndstage,1-5 years old,
apartment,"2,500 TND",Les Jardins de Carthage inLe Kram,,,3 Rooms,,,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
apartment,"4,000 TND",Les Berges Du Lac 2 inLa Marsa,,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,6thstage,1-5 years old,
house,"11,000 TND",Les Berges Du Lac 2 inLa Marsa,,6 Pieces,5 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,,1-5 years old,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,"5,000 TND",Gammarth inLa Marsa,,5 Pieces,4 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,,1-5 years old,
house,"4,800 TND",Gammarth inLa Marsa,,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,1-5 years old,
house,"5,000 TND",Les Berges Du Lac 2 inLa Marsa,,4 Pieces,3 Rooms,4 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,3rdstage,1-5 years old,
apartment,950 TND,Ennasr,,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,2ndstage,1-5 years old,
house,"4,000 TND",La Marsa inLa Marsa,,7 Pieces,6 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,,1-5 years old,
house,"6,000 TND",Gammarth inLa Marsa,,5 Pieces,4 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,,Less than 1 year,
apartment,"4,500 TND",Les Jardins de Carthage inLe Kram,,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,,5-10 years old,
apartment,"7,000 TND",La Marsa inLa Marsa,,4 Pieces,3 Rooms,3 Bathrooms,New,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,,5-10 years old,
apartment,"2,500 TND",Gammarth inLa Marsa,,2 Pieces,1 Room,1 Bathroom,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,,5-10 years old,
apartment,"2,500 TND",La Marsa inLa Marsa,,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,1ststage,1-5 years old,
house,"4,500 TND",Les Jardins de Carthage inLe Kram,,5 Pieces,4 Rooms,3 Bathrooms,New,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,,Less than 1 year,
house,"6,500 TND",Gammarth inLa Marsa,,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,,1-5 years old,
house,"9,000 TND",La Marsa inLa Marsa,,6 Pieces,5 Rooms,4 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,,,
house,"7,000 TND",Gammarth inLa Marsa,,9 Pieces,4 Rooms,4 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,,10-20 years old,
apartment,"1,750 TND",Les Jardins de Carthage inLe Kram,,4 Pieces,3 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,,1-5 years old,
house,"4,200 TND",Gammarth inLa Marsa,,4 Pieces,3 Rooms,1 Bathroom,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,,5-10 years old,
house,"10,000 TND",Carthage inCarthage,,5 Pieces,4 Rooms,3 Bathrooms,New,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,,1-5 years old,
