Title,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Stage,Air conditioning,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Age,uknown
Flat for rent in Les Jardins d'El Menzah 2. 3 beautiful rooms. Well equipped kitchen.,"1,450 TND",Les Jardins d'El Menzah 2 inAriana Ville,150m²,4 Pieces,3 Rooms,1 Bathroom,Good condition,3rdstage,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,5-10 years old,
Rent this apartment in La Marsa. Dimension 1 m². Equipped kitchen.,"1,000 TND",La Marsa inLa Marsa,,2 Pieces,1 Room,1 Bathroom,Good condition,,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,,
Apartment for rent in Khaznadar. Dimension 70 m². Terrace.,650 TND,Khaznadar inLe Bardo,70m²,,1 Room,1 Bathroom,Good condition,2ndstage,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1-5 years old,1 Piece
Lovely apartment for rent in Mutuelle Ville. 2 beautiful rooms. Dressing room.,"1,450 TND",Mutuelle Ville inEl Menzah,85m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,1ststage,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,1-5 years old,
Apartment for rent. 4 large rooms. Well decorated.,"2,900 TND",Khezama Ouest,160m²,4 Pieces,3 Rooms,3 Bathrooms,New,2ndstage,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,1-5 years old,
"Lovely apartment for rent in Les Berges Du Lac 2. Total area 753 m². Large swimming pool, General air conditioning.","12,500 TND",Les Berges Du Lac 2 inLa Marsa,753m²,6 Pieces,5 Rooms,5 Bathrooms,Good condition,,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,,
"Very nice apartment for rent in Ain Zaghouan Nord. 3 beautiful rooms. Large swimming pool, General air conditioning.","5,500 TND",Les Berges Du Lac 2 inLa Marsa,300m²,3 Pieces,3 Rooms,1 Bathroom,New,,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,,
Very nice apartment for rent in Les Berges Du Lac 1. 3 beautiful rooms. Cooker with oven.,"4,300 TND",Les Berges Du Lac 1 inLa Marsa,180m²,4 Pieces,3 Rooms,3 Bathrooms,New,,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,,
Rent this apartment in Ain Zaghouan Nord. Surface area 180 m². Beautiful terrace.,"4,500 TND",Les Berges Du Lac 2 inLa Marsa,180m²,4 Pieces,3 Rooms,2 Bathrooms,New,,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Very nice apartment for rent in Les Berges Du Lac 1. 3 beautiful rooms. General air conditioning.,"4,300 TND",Les Berges Du Lac 1 inLa Marsa,190m²,4 Pieces,3 Rooms,3 Bathrooms,New,,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,,
"Find an apartment for rent in La Marsa. 3 beautiful rooms. Caretaker service available, air conditioning.","2,500 TND",La Marsa inLa Marsa,160m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
